Tweet,Fecha,Locacion,Coordenadas
"Escuchar a ""Tale of Us"" desde mi retrete obviamente 💩 ES DE LOS MEJORES PLACERES DE MI PUTA EXISTENCIA. 😍😍😍🤯 @taleofus",Wed Apr 22 17:36:43 +0000 2020,"Tlaxcala, México","[[[-98.295856, 19.26074], [-98.295856, 19.376095], [-98.197675, 19.376095], [-98.197675, 19.26074]]]"
"Mascotas, títeres y retretes...🤭",Thu Apr 02 17:07:01 +0000 2020,"Querétaro, Querétaro Arteaga","[[[-100.596343, 20.50317], [-100.596343, 20.927379], [-100.284846, 20.927379], [-100.284846, 20.50317]]]"
@emedranos LO MISMO QUE EN RETRETE CUANDO CAGO. PERO ESTOS NO SE VAN,Sat Apr 04 03:13:07 +0000 2020,México,"[[[-100.613313, 18.367105], [-100.613313, 20.285187], [-98.596782, 20.285187], [-98.596782, 18.367105]]]"
@ivabelle_a @JTrianaT @HLGatell es el retrete de lopes.,Sat Apr 04 03:25:18 +0000 2020,"Xaltocan, Tlaxcala","[[[-98.298712, 19.360852], [-98.298712, 19.478929], [-98.189129, 19.478929], [-98.189129, 19.360852]]]"
Los criollos apestoso ignorantes cara de retrete que viven parasitariamente en el #Anahuac: si tanto aman a su puta… https://t.co/m5F3wQWEnh,Sun Apr 05 05:30:23 +0000 2020,"Coyoacán, Distrito Federal","[[[-99.205809, 19.297011], [-99.205809, 19.359755], [-99.098871, 19.359755], [-99.098871, 19.297011]]]"
Los criollos apestoso ignorantes con el síndrome de cara de retrete que viven parasitariamente en el #Anahuac: si t… https://t.co/bi7gzFeiUK,Sun Apr 05 05:35:47 +0000 2020,"Coyoacán, Distrito Federal","[[[-99.205809, 19.297011], [-99.205809, 19.359755], [-99.098871, 19.359755], [-99.098871, 19.297011]]]"
"@Awesome_lml @vampipe Retrete, digo Retrato del fracaso.",Tue Apr 07 00:41:15 +0000 2020,"Aldama, Chihuahua","[[[-106.224979, 28.55268], [-106.224979, 29.672053], [-104.66185, 29.672053], [-104.66185, 28.55268]]]"
"@pancho71 @HECTORITO @Pjaroloco2019 Intenta el Cura sin cura
Canonizar al vejete!
Va solicito al retrete
A lavar su… https://t.co/AhXFN5Esun",Wed Apr 08 03:10:02 +0000 2020,"Zapopan, Jalisco","[[[-103.664175, 20.583418], [-103.664175, 20.997896], [-103.305374, 20.997896], [-103.305374, 20.583418]]]"
@AcleTomasini Retrete diría yo,Sun Apr 26 22:17:53 +0000 2020,"Victoria, Tamaulipas","[[[-99.42842, 23.389556], [-99.42842, 23.982312], [-98.947388, 23.982312], [-98.947388, 23.389556]]]"
La única explicación para tener un retrete hecho de oro es para cagar bien rico.,Thu Apr 09 23:17:05 +0000 2020,"Benito Juárez, Distrito Federal","[[[-99.191996, 19.357102], [-99.191996, 19.404124], [-99.130965, 19.404124], [-99.130965, 19.357102]]]"
"@EstadioAkron Yo lo que veo es un bacin a donde sale a orinar todos los días!!!   Es un retrete ecológico; si no saben, no opinen.",Sat Apr 11 15:57:10 +0000 2020,"Guadalajara, Jalisco","[[[-103.408633, 20.600585], [-103.408633, 20.752719], [-103.263131, 20.752719], [-103.263131, 20.600585]]]"
@LuElizabbeth @raa_faa_95 @NicoTorn1 Cara de retrete,Sun Apr 12 05:35:21 +0000 2020,"Tultepec, México","[[[-99.154166, 19.645816], [-99.154166, 19.710656], [-99.08396, 19.710656], [-99.08396, 19.645816]]]"
"101 horas por el retrete, aunque ahora todo será más rápido...
Espero",Sun Apr 12 13:45:07 +0000 2020,"Álvaro Obregón, Distrito Federal","[[[-99.324375, 19.232228], [-99.324375, 19.403856], [-99.171644, 19.403856], [-99.171644, 19.232228]]]"
@Nixarim @ArtOfNe Perez-Retrete se refería a la libertad total... De los amigos de Franco para desfalcar y saquear… https://t.co/iLQ7SFzTZP,Mon Apr 20 11:38:32 +0000 2020,"Guadalupe, Nuevo León","[[[-100.274823, 25.621688], [-100.274823, 25.731519], [-100.117445, 25.731519], [-100.117445, 25.621688]]]"
