Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
@Ark_Nes Con todo y rasquera,Mon May 25 21:29:27 +0000 2020,"Hermosillo, Sonora",-112.615459,28.228442,-112.615459,29.711283,-110.380903,29.711283,-110.380903,28.228442
El arete me está matando de la rasquera y no lo puedo tocar 😭,Mon Jul 06 21:56:19 +0000 2020,"Hermosillo, Sonora",-112.615459,28.228442,-112.615459,29.711283,-110.380903,29.711283,-110.380903,28.228442
Me dan un chingo de rasquera los tatuajes.,Fri Aug 21 09:11:23 +0000 2020,"Hermosillo, Sonora",-112.615459,28.228442,-112.615459,29.711283,-110.380903,29.711283,-110.380903,28.228442
"@M_ar_ia_n Jijuesuchingadamadre, comentarios de gente pendeja 🙉, y  sumale la rasquera de que no lo pelabas 😅",Sat Sep 12 03:56:02 +0000 2020,"Ahome, Sinaloa",-109.44826,25.440593,-109.44826,26.4033,-108.759193,26.4033,-108.759193,25.440593
Está bien de la verga que te salga sarpullido del estrés y te estreses más por la pinshi rasquera.,Tue Sep 29 00:10:25 +0000 2020,"Hermosillo, Sonora",-112.615459,28.228442,-112.615459,29.711283,-110.380903,29.711283,-110.380903,28.228442
"Si Millanes, pero es como quienes dicen rasquera al acto de rascarse ante una comezón o quienes dicen en un periodo… https://t.co/4vtoOHW2BV",Thu Oct 22 01:11:02 +0000 2020,"Cajeme, Sonora",-110.150484,27.019532,-110.150484,28.407773,-109.533096,28.407773,-109.533096,27.019532
@ClubNaranjeros Como que les dio rasquera.... jjajajaajajaja queeee puess!!! https://t.co/nWiHcKIlCN,Thu Oct 22 01:48:48 +0000 2020,"Culiacán, Sinaloa",-107.806281,24.028162,-107.806281,25.296815,-106.877832,25.296815,-106.877832,24.028162
"Está bien feo tratar de no tomar tanto alcohol.
Uno lleva dos semanas de sobriedad y de la nada le da una rasquera… https://t.co/vMnu2Z2W7b",Sat Jan 30 22:32:45 +0000 2021,"Tijuana, Baja California",-117.298421,32.098292,-117.298421,32.567461,-116.559783,32.567461,-116.559783,32.098292
Y vinimos en que el Jax Snax. Pa que le de rasquera a aquel vato margaro. https://t.co/DqGow2qiIn,Mon May 03 03:04:05 +0000 2021,"Guaymas, Sonora",-111.391696,27.133812,-111.391696,28.633587,-110.052958,28.633587,-110.052958,27.133812
@El_Universal_Mx A lo mejor ahí está la respuesta a la rasquera que te dio cuando te surtió a cachetadas el chispas @DaniAcostaGal,Wed May 12 03:13:26 +0000 2021,"Nacozari de García, Sonora",-109.795052,30.219196,-109.795052,30.723074,-109.120064,30.723074,-109.120064,30.219196
