Estado,retrete,escusado,inodoro,WC
Aguascalientes,2,7,3,6
Baja California,8,23,3,26
Baja California Sur,2,1,7,5
Campeche,2,1,5,5
Chiapas,6,4,5,11
Chihuahua,11,10,15,6
Ciudad de México,125,200,85,144
Coahuila de Zaragoza,15,17,5,6
Colima,0,3,1,2
Durango,5,5,7,3
México,42,53,33,63
Guanajuato,6,18,18,12
Guerrero,4,4,7,5
Hidalgo,7,7,3,5
Jalisco,34,69,33,41
Michoacán de Ocampo,3,4,5,9
Morelos,9,16,12,15
Nayarit,1,6,5,3
Nuevo León,33,41,56,29
Oaxaca,4,11,4,2
Puebla,12,22,18,23
Querétaro,13,37,14,16
Quintana Roo,13,12,17,27
San Luis Potosí,3,8,8,4
Sinaloa,8,18,7,14
Sonora,5,24,7,13
Tabasco,1,9,7,6
Tamaulipas,7,8,6,5
Tlaxcala,4,0,1,1
Veracruz de Ignacio de la Llave,27,20,22,21
Yucatán,6,16,38,5
Zacatecas,6,0,3,4
Total,424,674,460,537
